,Standard__Gls,Standard__Sh,Standard__SoT,Standard__SoT%,Standard__G/Sh,Standard__G/SoT,Standard__Dist,Standard__FK,Standard__PK,Standard__PKatt
355,2,19.0,8.0,42.1,0.11,0.25,18.3,0.0,0,0
356,1,6.0,3.0,50.0,0.17,0.33,25.2,1.0,0,0
357,0,17.0,2.0,11.8,0.0,0.0,20.0,1.0,0,0
358,1,7.0,3.0,42.9,0.14,0.33,20.1,0.0,0,0
359,0,9.0,2.0,22.2,0.0,0.0,18.5,0.0,0,0
360,0,3.0,1.0,33.3,0.0,0.0,16.0,0.0,0,0
361,6,14.0,7.0,50.0,0.36,0.71,14.4,1.0,1,1
362,0,28.0,7.0,25.0,0.0,0.0,18.2,1.0,0,0
363,1,10.0,4.0,40.0,0.1,0.25,19.3,0.0,0,0
364,0,10.0,3.0,30.0,0.0,0.0,15.8,0.0,0,0
365,1,7.0,3.0,42.9,0.14,0.33,13.3,0.0,0,0
366,1,12.0,2.0,16.7,0.08,0.5,14.5,0.0,0,0
367,2,12.0,5.0,41.7,0.17,0.4,21.7,1.0,0,0
368,1,3.0,2.0,66.7,0.33,0.5,27.5,0.0,0,0
369,0,15.0,5.0,33.3,0.0,0.0,16.5,1.0,0,0
370,1,12.0,3.0,25.0,0.08,0.33,19.8,0.0,0,0
371,0,14.0,1.0,7.1,0.0,0.0,22.4,1.0,0,0
372,1,8.0,3.0,37.5,0.13,0.33,16.7,1.0,0,0
373,1,11.0,3.0,27.3,0.09,0.33,22.1,2.0,0,0
374,2,15.0,6.0,40.0,0.13,0.33,20.0,0.0,0,0
375,4,11.0,5.0,45.5,0.36,0.8,21.3,3.0,0,0
376,3,15.0,8.0,53.3,0.13,0.25,19.8,0.0,1,1
377,2,10.0,6.0,60.0,0.2,0.33,20.2,0.0,0,0
378,2,6.0,4.0,66.7,0.17,0.25,19.8,0.0,1,1
379,2,15.0,4.0,26.7,0.07,0.25,20.2,1.0,1,2
